rank,player_name,team_short,position_group,matches,score_overall,silo__Pace,silo__Physical,silo__Passing,silo__Creation,silo__Movement,silo__Shooting,silo__Defending,silo__Dribbling
1,Anthony Cáceres,Sydney FC,Midfield,21,82.8,90.4,83.4,64.4,88.7,74.1,92.4,87.0,96.7
2,Guillermo Luis May Bartesaghi,Auckland,Center Forward,28,80.9,52.8,68.9,61.0,81.8,83.8,96.3,85.2,96.3
3,Daniel Arzani,Melbourne Victory,Wide Attacker,18,79.9,68.1,48.5,53.9,95.3,84.1,84.1,68.3,96.3
4,Alexandar Popovic,Sydney FC,Central Defender,15,79.0,82.8,83.6,69.6,73.0,80.7,30.6,94.4,48.6
5,Liam  Gillion,Auckland,Wide Attacker,11,78.3,82.6,86.4,31.5,59.9,85.7,78.0,82.9,96.3
6,Nishan Velupillay,Melbourne Victory,Wide Attacker,16,77.1,71.7,59.9,58.0,65.6,82.8,92.7,86.6,84.1
7,Ben Garuccio,Western United,Full Back,17,76.0,65.5,90.3,67.4,74.3,67.5,79.4,94.1,64.7
8,Luis Felipe Gallegos Leiva,Auckland,Midfield,22,72.3,72.6,75.2,50.1,71.1,78.1,95.7,69.6,90.2
9,Phillip Cancar,Newcastle Jets,Central Defender,6,71.0,76.2,66.1,80.2,43.2,65.5,30.6,80.6,48.6
10,Joshua Inserra,Melbourne Victory,Full Back,5,69.3,73.1,73.8,76.0,73.6,68.8,57.4,88.2,26.5
11,Jordi Valadon,Melbourne Victory,Midfield,29,67.4,83.7,59.3,63.0,57.7,58.8,75.0,77.2,75.0
12,Keegan Jelacic,Brisbane Roar,Wide Attacker,16,67.3,46.2,71.4,76.7,74.9,58.6,52.4,96.3,84.1
13,Anas Ouahim,Sydney FC,Midfield,12,66.7,66.2,55.1,53.4,72.0,86.0,82.6,46.7,90.2
13,Dylan Pierias,Adelaide United,Full Back,22,66.7,96.6,78.5,31.5,36.7,80.7,95.6,36.8,92.6
15,Joe Lolley,Sydney FC,Wide Attacker,15,66.6,34.3,41.7,65.9,83.5,52.6,84.1,58.5,91.5
16,Kosta Barbarouses,Wellington,Center Forward,25,66.1,85.8,69.4,43.2,59.8,57.8,63.0,59.3,88.9
17,Noah Botić,Western United,Center Forward,24,65.7,67.7,76.6,43.8,62.5,55.8,90.7,79.6,33.3
18,Nicholas Pennington,Perth Glory,Midfield,17,65.4,24.9,50.9,59.7,67.5,57.9,59.8,91.3,90.2
18,Zinédine Machach,Melbourne Victory,Midfield,25,65.4,77.3,30.5,39.6,77.9,89.4,97.8,64.1,75.0
20,Nikolaos Vergos,Melbourne Victory,Center Forward,19,65.3,47.1,30.9,64.6,69.7,58.1,90.7,40.7,81.5
21,Angus Thurgate,Western United,Midfield,28,64.3,78.5,88.1,23.7,63.2,69.4,92.4,95.7,34.8
22,Adrian Segecic,Sydney FC,Wide Attacker,6,64.2,60.0,78.5,29.4,26.9,74.6,95.1,79.3,65.9
23,Matthew Sheridan,Wellington,Central Defender,9,64.1,49.9,58.9,38.8,40.9,79.2,83.3,97.2,48.6
24,James Donachie,Western United,Central Defender,5,64.0,82.1,84.1,32.3,31.5,63.8,68.1,76.4,48.6
25,Dylan Leonard,Western United,Central Defender,27,63.5,59.5,93.6,33.6,77.8,61.8,30.6,69.4,48.6
26,Kai Trewin,Melbourne City,Central Defender,19,63.0,66.7,86.8,50.8,73.0,82.3,83.3,48.6,48.6
26,Eli Adams,Newcastle Jets,Center Forward,10,63.0,63.6,73.9,67.2,62.8,42.0,53.7,92.6,92.6
26,Neyder Stiven Moreno Betancur,Auckland,Wide Attacker,7,63.0,54.4,42.0,50.1,54.1,45.5,97.6,28.0,91.5
29,Kosta Grozos,Newcastle Jets,Central Defender,16,62.8,34.8,28.2,88.1,62.7,47.8,30.6,88.9,48.6
29,Michael Ruhs,Western United,Center Forward,5,62.8,72.3,62.5,46.6,56.8,48.5,74.1,72.2,70.4
29,Nathan Paull,Central Coast,Central Defender,15,62.8,60.2,68.2,48.0,58.2,64.4,93.1,72.2,48.6
32,Jay O'Shea,Brisbane Roar,Midfield,26,62.6,37.7,43.2,49.2,90.3,56.3,82.6,57.6,83.7
33,Panagiotis Kikianis,Adelaide United,Central Defender,23,62.4,27.2,42.0,65.6,76.3,44.4,68.1,91.7,48.6
34,Jordan Courtney-Perkins,Sydney FC,Full Back,16,62.2,63.1,95.0,43.8,38.7,77.1,22.1,85.3,26.5
34,Harry Politidis,Melbourne City,Wide Attacker,11,62.2,87.8,81.4,64.2,53.1,61.8,19.5,90.2,65.9
36,Isaac Hughes,Wellington,Central Defender,24,62.1,73.7,50.0,43.7,52.5,63.4,83.3,86.1,48.6
37,Tomoki Imai,Western United,Central Defender,22,61.6,73.5,74.5,49.7,52.1,64.7,30.6,63.9,48.6
