rank,rank_in_position,player_name,team_short,position_group,matches,minutes,score_overall,silo__Pace,silo__Physical,silo__Passing,silo__Creation,silo__Movement
1,1,Brandon Borrello,WS Wanderers,Center Forward,24,92.8,79.6,85.7,74.7,66.6,86.1,78.8
2,1,Anthony Cáceres,Sydney FC,Midfield,21,98.1,78.3,90.4,83.4,64.4,88.7,74.1
3,1,Alexandar Popovic,Sydney FC,Central Defender,15,97.2,77.5,82.8,83.6,69.6,73.0,80.7
4,1,Daniel Arzani,Melbourne Victory,Wide Attacker,18,77.2,75.2,68.1,48.5,53.9,95.3,84.1
5,1,Ben Garuccio,Western United,Full Back,17,94.4,73.6,65.5,90.3,67.4,74.3,67.5
5,2,Austin Ayoubi,Adelaide United,Wide Attacker,4,67.7,73.6,80.8,41.2,86.0,56.8,89.3
7,2,Joshua Inserra,Melbourne Victory,Full Back,5,89.7,73.1,73.1,73.8,76.0,73.6,68.8
8,3,Daniel Wilmering,Newcastle Jets,Full Back,21,99.2,72.7,88.4,83.0,50.1,64.5,68.8
9,2,Guillermo Luis May Bartesaghi,Auckland,Center Forward,28,94.6,72.6,52.8,68.9,61.0,81.8,83.8
9,3,Liam  Gillion,Auckland,Wide Attacker,11,86.8,72.6,82.6,86.4,31.5,59.9,85.7
11,2,Phillip Cancar,Newcastle Jets,Central Defender,6,94.2,70.9,76.2,66.1,80.2,43.2,65.5
12,3,Germán Julio César Ferreyra,Melbourne City,Central Defender,16,98.0,70.7,64.4,75.0,72.0,66.9,59.1
13,4,Nishan Velupillay,Melbourne Victory,Wide Attacker,16,87.8,70.5,71.7,59.9,58.0,65.6,82.8
14,4,Gabriel Cléùr,WS Wanderers,Full Back,20,91.2,70.4,51.7,71.5,74.8,81.5,78.4
15,4,Kai Trewin,Melbourne City,Central Defender,19,98.3,69.8,66.7,86.8,50.8,73.0,82.3
16,5,Aleksandar Šušnjar,Newcastle Jets,Central Defender,13,98.6,69.1,40.1,53.2,89.2,92.1,83.7
17,5,Harry Politidis,Melbourne City,Wide Attacker,11,79.6,68.5,87.8,81.4,64.2,53.1,61.8
17,6,Brendan Hamill,Melbourne Victory,Central Defender,20,97.8,68.5,93.7,63.9,70.4,54.5,46.6
19,5,Dylan Pierias,Adelaide United,Full Back,22,98.4,67.5,96.6,78.5,31.5,36.7,80.7
20,2,Luis Felipe Gallegos Leiva,Auckland,Midfield,22,87.2,67.1,72.6,75.2,50.1,71.1,78.1
21,7,Kane Vidmar,Western United,Central Defender,3,93.5,66.6,60.0,87.0,63.6,24.4,34.8
22,6,Lucas Mauragis,Central Coast,Full Back,16,95.2,66.1,55.1,78.8,42.6,62.1,91.6
23,7,Jordan Courtney-Perkins,Sydney FC,Full Back,16,97.3,65.4,63.1,95.0,43.8,38.7,77.1
24,3,Anas Ouahim,Sydney FC,Midfield,12,85.0,65.3,66.2,55.1,53.4,72.0,86.0
25,8,Bart Vriends,Adelaide United,Central Defender,23,98.8,64.6,48.1,84.1,48.4,57.6,88.7
26,9,Mark Natta,Newcastle Jets,Central Defender,16,96.3,64.0,55.4,37.2,91.5,89.7,52.6
27,10,Dylan Leonard,Western United,Central Defender,27,96.6,63.9,59.5,93.6,33.6,77.8,61.8
28,6,Nicolas Milanovic,WS Wanderers,Wide Attacker,22,90.5,63.8,63.9,61.6,57.3,62.3,68.3
29,3,Kosta Barbarouses,Wellington,Center Forward,25,96.5,63.6,85.8,69.4,43.2,59.8,57.8
29,8,Walter Scott,Macarthur,Full Back,7,88.7,63.6,79.7,63.0,27.2,51.7,91.3
31,4,Juan Manuel Mata García,WS Wanderers,Midfield,3,68.4,63.4,12.6,15.2,90.4,81.0,77.0
