team,players,pace,physical,passing,creation,movement,shooting,defending,dribbling,overall
Sydney FC,20,61.5,60.1,54.5,57.6,53.7,57.8,68.6,56.6,60.6
WS Wanderers,18,53.4,52.0,64.4,63.7,59.3,,,,58.9
Auckland,17,59.0,52.7,41.8,55.5,53.6,82.3,62.2,71.5,58.0
Western United,19,61.6,70.9,39.4,57.7,54.9,66.2,68.4,41.6,57.3
Melbourne Victory,20,66.6,48.6,58.3,62.3,54.9,63.9,45.1,61.7,57.0
Wellington,17,52.5,42.1,52.3,48.6,51.2,57.0,62.3,65.4,54.4
Adelaide United,21,57.1,55.7,45.2,52.1,54.5,53.5,56.9,46.5,52.9
Newcastle Jets,16,53.5,58.8,57.3,54.0,56.2,42.1,47.1,49.2,52.5
Melbourne City,22,50.7,59.4,58.6,59.4,53.0,65.9,36.9,51.6,51.5
Perth Glory,29,44.3,52.2,42.4,50.7,47.2,35.3,66.3,47.0,48.3
Brisbane Roar,25,42.8,48.4,50.6,52.6,46.1,43.5,53.9,57.9,48.0
Central Coast,20,52.3,54.4,47.9,47.3,46.4,36.8,46.8,37.7,47.0
Macarthur,24,41.7,36.5,47.3,57.6,52.2,33.1,52.5,34.7,46.3
